respondent_id,year,age,gender,ses,AC1,AC2,AC3,FS1,EC2,PT3,EC4,FS5,PD6,FS7,PT8,EC9,PD10,PT11,FS12,PD13,EC14,PT15,FS16,PD17,EC18,PD19,EC20,PT21,EC22,FS23,PD24,PT25,FS26,PD27,PT28,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total,qc_fail_count,md_score,is_outlier
1,2023,21.0,2.0,2.0,,,,4,2,4,5,3,4,4,4,3,3,3,5,3,4,4,3,4,5,3,3,3,3,3,2,3,4,2,3,3.7142857142857144,3.4285714285714284,3.5714285714285716,3.0,3.4285714285714284,0,3.6275796123718154,False
2,2023,38.0,2.0,4.0,,,,2,4,5,5,1,2,4,2,5,2,5,5,4,5,5,2,2,5,1,4,5,5,3,1,5,5,1,5,3.142857142857143,4.571428571428571,4.714285714285714,1.8571428571428572,3.571428571428571,0,6.537644726562394,False
3,2023,18.0,2.0,3.0,,,,3,4,4,5,3,3,3,5,4,3,4,4,2,4,4,3,3,5,3,3,4,3,3,2,1,2,1,5,3.0,3.857142857142857,4.0,2.4285714285714284,3.3214285714285716,0,4.027394921166557,False
4,2023,19.0,2.0,1.0,,,,3,3,5,5,2,2,4,4,3,2,5,5,2,5,5,3,1,5,3,3,5,3,3,1,3,3,1,5,3.2857142857142856,4.571428571428571,3.857142857142857,1.7142857142857142,3.3571428571428568,0,3.931774902636646,False
5,2023,18.0,2.0,2.0,,,,2,2,5,4,1,1,4,3,4,1,2,4,3,5,3,2,1,5,3,1,3,1,2,1,3,2,1,4,2.4285714285714284,3.2857142857142856,3.142857142857143,1.5714285714285714,2.6071428571428568,0,4.365279174427854,False
6,2023,20.0,1.0,1.0,,,,3,3,5,3,4,3,5,4,3,2,3,5,2,3,3,4,1,2,3,4,5,3,3,1,2,5,1,2,4.142857142857143,3.4285714285714284,3.0,1.8571428571428572,3.107142857142857,0,6.15091815888715,False
7,2023,21.0,1.0,3.0,,,,2,1,3,1,3,1,4,3,1,1,1,1,1,3,1,5,1,1,3,1,5,3,1,1,2,2,1,1,2.5714285714285716,2.2857142857142856,1.5714285714285714,1.2857142857142858,1.9285714285714286,0,8.279315585388145,True
8,2023,18.0,2.0,3.0,,,,3,2,4,2,2,3,2,4,3,3,2,4,3,2,4,3,4,4,3,2,4,3,4,2,3,4,4,5,3.142857142857143,3.7142857142857144,2.5714285714285716,3.142857142857143,3.142857142857143,0,5.397444954872815,False
9,2023,18.0,1.0,3.0,,,,5,5,5,5,2,2,3,5,3,1,5,5,4,4,4,5,1,5,3,2,3,2,4,2,5,5,2,5,4.142857142857143,4.571428571428571,3.7142857142857144,2.142857142857143,3.6428571428571432,0,5.890508720667913,False
10,2023,18.0,1.0,2.0,,,,1,4,4,4,1,1,4,4,2,3,4,2,1,5,5,1,2,5,1,1,1,1,2,1,3,1,1,4,1.7142857142857142,3.5714285714285716,3.142857142857143,1.4285714285714286,2.4642857142857144,0,6.373669070419118,False
11,2023,18.0,1.0,1.0,,,,3,2,4,4,3,1,1,4,3,2,4,4,2,3,4,3,1,5,2,1,3,3,4,1,3,4,1,4,3.142857142857143,3.7142857142857144,3.0,1.4285714285714286,2.8214285714285716,0,4.211114533755773,False
12,2023,18.0,1.0,2.0,,,,4,4,3,3,3,3,2,5,5,4,4,2,1,3,4,3,1,5,2,2,5,4,4,1,4,3,1,4,3.0,4.142857142857143,3.7142857142857144,1.8571428571428572,3.178571428571429,0,4.622770053465198,False
13,2023,18.0,1.0,0.0,,,,4,4,4,3,1,2,2,4,3,2,4,3,2,4,4,2,2,4,2,1,4,2,3,2,2,2,1,3,2.4285714285714284,3.5714285714285716,3.0,1.8571428571428572,2.7142857142857144,0,3.681423534947837,False
14,2023,19.0,2.0,0.0,,,,4,5,3,5,5,5,1,5,5,1,5,4,1,5,3,5,5,5,1,5,5,5,5,1,5,5,5,5,4.142857142857143,4.428571428571429,5.0,2.7142857142857144,4.071428571428572,0,7.650540494619495,True
15,2023,19.0,2.0,1.0,,,,2,2,5,2,2,1,4,3,1,1,2,5,4,5,5,1,1,5,4,2,2,2,2,2,3,2,1,3,2.5714285714285716,3.2857142857142856,2.7142857142857144,2.0,2.6428571428571432,0,4.947801530488303,False
16,2023,18.0,2.0,2.0,,,,3,4,5,5,2,3,3,5,4,3,5,5,2,4,4,1,3,5,1,3,5,4,3,1,3,5,1,5,3.142857142857143,4.571428571428571,4.142857142857143,2.0,3.4642857142857144,0,4.406069465812949,False
17,2023,23.0,1.0,2.0,,,,1,2,5,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,3.4285714285714284,3.857142857142857,3.4285714285714284,3.2857142857142856,3.5,0,6.317104214218348,False
18,2023,18.0,2.0,1.0,,,,2,1,4,5,2,2,4,3,1,1,2,4,4,3,5,1,2,5,5,1,2,1,1,1,3,1,1,2,2.142857142857143,3.0,2.4285714285714284,2.2857142857142856,2.4642857142857144,0,4.615701178766024,False
19,2023,18.0,2.0,1.0,,,,4,4,4,3,4,3,2,4,4,2,4,4,2,4,4,2,2,4,2,2,4,3,4,2,3,4,3,3,3.4285714285714284,3.7142857142857144,3.4285714285714284,2.2857142857142856,3.2142857142857144,0,3.7148449241955124,False
20,2023,24.0,2.0,2.0,,,,5,5,4,4,5,5,3,4,4,4,5,5,3,5,2,1,4,5,3,4,4,5,1,3,1,3,2,5,3.2857142857142856,3.5714285714285716,4.571428571428571,3.4285714285714284,3.7142857142857144,0,5.995432228416927,False
21,2023,18.0,1.0,2.0,,,,4,3,4,4,4,3,4,3,3,3,3,5,3,4,4,4,4,4,3,4,3,4,4,3,3,4,2,3,4.142857142857143,3.2857142857142856,3.7142857142857144,3.0,3.5357142857142856,0,2.7860074793774436,False
22,2023,18.0,1.0,2.0,,,,4,3,4,4,3,3,4,4,5,3,5,4,4,4,1,4,1,5,2,3,5,5,5,1,4,4,1,4,4.0,3.857142857142857,4.142857142857143,2.142857142857143,3.5357142857142856,0,5.629650600543165,False
23,2023,24.0,1.0,2.0,,,,4,3,3,4,4,3,2,4,3,2,4,4,3,3,3,2,2,4,3,3,4,3,4,3,2,4,3,3,3.4285714285714284,3.2857142857142856,3.2857142857142856,2.7142857142857144,3.178571428571429,0,3.727457992703819,False
24,2023,26.0,1.0,3.0,,,,3,3,4,3,3,2,3,4,3,2,3,3,2,3,3,1,3,4,2,2,3,3,4,2,3,2,1,4,2.7142857142857144,3.4285714285714284,3.0,2.0,2.7857142857142856,0,3.939485286810497,False
25,2023,20.0,1.0,2.0,,,,3,2,3,3,3,3,2,3,2,2,2,4,2,4,1,3,4,4,1,3,2,2,3,2,2,4,1,2,3.142857142857143,2.142857142857143,2.857142857142857,2.142857142857143,2.571428571428571,0,5.465556187224177,False
26,2023,23.0,1.0,0.0,,,,5,5,5,5,5,1,5,5,3,1,5,5,1,5,5,1,1,5,1,5,5,3,5,1,5,5,1,5,4.428571428571429,5.0,4.428571428571429,1.0,3.7142857142857144,0,6.667830304178131,False
27,2023,20.0,1.0,1.0,,,,3,3,3,3,3,2,4,3,4,3,3,5,3,5,2,2,2,5,4,3,3,3,2,1,3,3,1,5,3.142857142857143,3.142857142857143,3.7142857142857144,2.2857142857142856,3.071428571428571,0,4.970926908125865,False
28,2023,18.0,2.0,2.0,,,,3,2,3,3,3,3,4,3,3,3,2,5,4,3,2,1,4,5,4,1,3,4,4,2,2,4,2,1,3.4285714285714284,2.2857142857142856,3.0,3.142857142857143,2.964285714285714,0,5.438043223045377,False
29,2023,18.0,1.0,2.0,,,,4,3,5,4,4,1,3,5,4,1,5,2,1,4,5,3,2,3,1,1,4,4,2,1,3,5,1,4,3.2857142857142856,4.428571428571429,3.2857142857142856,1.1428571428571428,3.0357142857142856,0,5.927751500151046,False
30,2023,18.0,2.0,1.0,,,,4,5,4,4,2,3,3,3,4,3,4,4,3,4,3,3,3,4,2,3,4,3,3,2,4,4,2,3,3.2857142857142856,3.5714285714285716,3.857142857142857,2.5714285714285716,3.3214285714285716,0,3.3112752182031286,False
31,2023,23.0,1.0,2.0,,,,5,4,3,4,3,2,2,3,4,2,4,4,1,4,3,4,3,4,2,3,3,4,4,1,3,4,2,4,3.7142857142857144,3.2857142857142856,3.857142857142857,1.8571428571428572,3.178571428571429,0,4.126636282085317,False
32,2023,18.0,1.0,2.0,,,,4,2,4,2,1,3,2,5,3,2,4,2,3,3,4,2,3,4,3,3,4,3,2,2,3,2,2,4,2.142857142857143,4.0,2.857142857142857,2.5714285714285716,2.892857142857143,0,3.65969763057137,False
33,2023,19.0,2.0,1.0,,,,4,2,5,4,4,2,5,3,1,4,2,5,5,4,5,1,4,5,3,4,2,4,2,1,2,1,1,5,3.142857142857143,3.4285714285714284,3.4285714285714284,2.857142857142857,3.2142857142857144,0,6.85491599550033,False
34,2023,18.0,,4.0,,,,4,3,4,5,5,3,2,5,3,4,4,5,3,3,4,4,4,4,3,4,4,5,4,3,2,2,2,4,3.7142857142857144,3.857142857142857,3.857142857142857,3.142857142857143,3.642857142857143,0,4.662448554891168,False
35,2023,18.0,2.0,4.0,,,,2,4,4,4,2,2,4,5,4,2,5,3,3,5,5,2,2,4,2,3,5,4,3,2,4,2,2,4,2.5714285714285716,4.571428571428571,4.0,2.142857142857143,3.321428571428571,0,3.7629185450849207,False
36,2023,19.0,2.0,1.0,,,,5,2,4,2,5,1,4,5,3,2,5,5,1,5,4,1,3,2,2,1,3,4,2,1,5,5,1,3,3.857142857142857,4.142857142857143,2.7142857142857144,1.5714285714285714,3.0714285714285716,0,7.862986686866622,True
37,2023,18.0,2.0,1.0,,,,4,3,4,5,1,3,2,4,3,4,4,5,3,4,3,1,3,5,2,4,4,3,1,2,1,3,1,4,2.4285714285714284,3.4285714285714284,3.857142857142857,2.5714285714285716,3.071428571428571,0,5.000898675943776,False
38,2023,20.0,2.0,1.0,,,,4,3,5,4,4,4,4,4,2,2,5,5,2,4,5,4,3,5,4,2,5,4,4,2,4,4,2,5,4.142857142857143,4.714285714285714,3.4285714285714284,2.7142857142857144,3.75,0,4.549287050283849,False
39,2023,18.0,1.0,2.0,,,,2,4,4,4,3,2,3,5,3,1,3,2,3,3,2,4,1,5,1,2,4,2,3,1,4,2,2,4,2.7142857142857144,3.7142857142857144,3.2857142857142856,1.5714285714285714,2.8214285714285716,0,5.12338071292572,False
40,2023,18.0,2.0,3.0,,,,5,5,5,5,5,3,3,5,4,3,5,3,4,5,1,5,3,5,4,5,3,5,3,3,4,4,3,5,4.0,4.0,4.857142857142857,3.2857142857142856,4.035714285714286,0,5.98007019575198,False
41,2023,18.0,1.0,2.0,,,,2,3,4,4,1,1,1,3,3,1,2,3,2,4,2,2,1,4,2,1,4,1,3,1,2,2,2,2,2.0,2.7142857142857144,2.857142857142857,1.4285714285714286,2.25,0,4.709830421349177,False
42,2023,18.0,2.0,2.0,,,,4,3,2,4,3,1,4,5,3,4,2,3,4,4,5,5,4,4,3,3,5,4,1,2,1,2,1,4,3.142857142857143,3.4285714285714284,3.5714285714285716,2.7142857142857144,3.2142857142857144,0,7.011156422283057,False
43,2023,19.0,2.0,4.0,,,,3,5,5,3,1,1,1,5,3,1,5,5,1,3,1,1,1,5,1,5,5,5,3,1,3,5,1,5,2.7142857142857144,4.142857142857143,4.142857142857143,1.0,3.0,0,7.045743695481354,False
44,2023,19.0,2.0,1.0,,,,3,4,3,3,2,3,3,5,1,3,3,3,3,2,1,3,3,4,4,3,5,2,3,2,3,3,1,5,2.857142857142857,3.5714285714285716,2.7142857142857144,2.7142857142857144,2.9642857142857144,0,5.489749561091253,False
45,2023,18.0,2.0,3.0,,,,4,4,4,5,4,5,4,4,4,4,4,3,3,4,4,3,4,5,3,5,5,4,4,3,4,4,3,5,3.7142857142857144,4.285714285714286,4.428571428571429,3.5714285714285716,4.0,0,3.8473712262333604,False
46,2023,19.0,1.0,2.0,,,,3,3,3,2,4,2,1,5,5,3,4,4,2,1,4,1,2,5,3,1,5,3,2,1,3,3,1,4,2.5714285714285716,4.0,2.857142857142857,2.0,2.857142857142857,0,5.673437092249906,False
47,2023,18.0,2.0,1.0,,,,2,5,5,4,3,4,3,3,4,4,5,2,4,4,4,3,5,5,2,3,4,5,3,2,4,5,2,4,3.0,4.142857142857143,4.285714285714286,3.2857142857142856,3.678571428571429,0,5.087757911973919,False
48,2023,18.0,2.0,1.0,,,,5,3,4,3,2,5,5,4,4,5,4,5,1,4,5,5,5,5,3,5,4,5,3,3,4,4,2,4,4.142857142857143,4.142857142857143,4.142857142857143,3.4285714285714284,3.964285714285715,0,5.979169650691614,False
49,2023,19.0,1.0,2.0,,,,2,2,5,5,3,1,1,4,3,1,4,2,2,4,5,2,2,5,2,3,5,3,2,1,4,3,1,4,2.142857142857143,4.428571428571429,3.5714285714285716,1.4285714285714286,2.892857142857143,0,4.832883620091861,False
50,2023,18.0,1.0,4.0,,,,3,3,4,4,3,4,3,4,2,2,4,2,4,4,4,3,4,4,4,4,2,4,3,3,2,4,1,4,3.0,3.4285714285714284,3.5714285714285716,3.142857142857143,3.2857142857142856,0,4.661414345822772,False
51,2023,18.0,1.0,3.0,,,,5,3,5,1,3,5,3,4,2,3,5,5,3,3,2,4,4,5,2,2,4,1,3,2,3,4,1,2,3.857142857142857,3.5714285714285716,2.4285714285714284,2.857142857142857,3.178571428571429,0,6.619575087589209,False
52,2023,23.0,1.0,2.0,,,,3,4,4,2,2,1,4,3,4,3,4,4,2,3,3,2,2,5,3,2,3,4,3,1,4,3,1,3,3.0,3.4285714285714284,3.4285714285714284,1.8571428571428572,2.928571428571429,0,4.469814689891615,False
53,2023,18.0,1.0,2.0,,,,5,4,4,2,4,3,4,3,4,1,4,4,3,3,3,5,5,4,3,4,4,5,4,3,1,2,3,3,4.0,3.142857142857143,3.7142857142857144,3.0,3.4642857142857144,0,6.03435989525929,False
54,2023,22.0,1.0,2.0,,,,3,4,5,4,3,2,3,3,4,3,4,3,1,3,3,2,3,4,1,2,3,3,3,1,4,4,2,4,3.0,3.7142857142857144,3.4285714285714284,1.8571428571428572,3.0,0,4.320878630725688,False
55,2023,18.0,1.0,0.0,,,,5,5,4,4,2,1,4,5,2,2,3,4,2,4,1,4,1,2,1,2,5,4,4,1,3,3,1,3,3.7142857142857144,3.4285714285714284,3.2857142857142856,1.2857142857142858,2.9285714285714284,0,6.25823248955363,False
56,2023,19.0,2.0,2.0,,,,3,2,5,4,1,1,5,5,5,1,5,5,4,5,5,4,3,4,3,2,5,5,5,1,3,5,2,5,4.0,4.714285714285714,3.857142857142857,2.142857142857143,3.678571428571429,0,6.324659371234809,False
57,2023,19.0,1.0,2.0,,,,3,3,5,4,3,2,3,4,3,2,4,3,3,4,4,1,1,5,3,2,4,3,3,2,3,3,3,4,2.7142857142857144,4.0,3.4285714285714284,2.2857142857142856,3.1071428571428568,0,3.671034350391141,False
58,2023,18.0,2.0,1.0,,,,4,4,5,4,5,1,3,5,3,2,3,5,3,4,4,4,2,5,3,4,4,5,5,2,2,5,1,3,4.428571428571429,3.7142857142857144,4.142857142857143,2.0,3.571428571428571,0,4.507807374688167,False
59,2023,22.0,1.0,2.0,,,,5,5,4,4,2,3,2,4,2,3,3,2,3,4,3,2,4,5,3,3,4,3,2,3,3,4,2,5,2.7142857142857144,3.7142857142857144,3.7142857142857144,3.0,3.2857142857142856,0,4.4116800325808345,False
60,2023,18.0,1.0,1.0,,,,4,4,4,3,4,1,3,3,3,3,3,2,2,3,3,5,2,4,2,2,4,2,4,2,2,4,2,3,3.7142857142857144,3.142857142857143,3.0,2.0,2.9642857142857144,0,4.420936830754345,False
61,2023,18.0,1.0,2.0,,,,3,2,3,4,2,1,3,4,3,1,2,4,2,4,4,3,2,5,4,4,3,4,3,1,2,4,2,3,3.142857142857143,3.0,3.7142857142857144,1.8571428571428572,2.928571428571429,0,4.8562850609600705,False
62,2023,18.0,2.0,3.0,,,,4,4,5,5,3,1,3,5,4,1,5,4,1,3,5,1,2,5,1,1,5,3,4,1,5,4,1,5,3.2857142857142856,5.0,3.5714285714285716,1.1428571428571428,3.2499999999999996,0,4.760090128734916,False
63,2023,18.0,2.0,0.0,,,,4,5,4,4,3,4,4,2,4,4,4,4,1,3,4,2,4,4,2,3,4,5,4,2,3,4,2,4,3.5714285714285716,3.5714285714285716,4.0,2.7142857142857144,3.4642857142857144,0,4.9995151103733555,False
64,2023,18.0,2.0,1.0,,,,2,2,5,4,2,2,3,4,2,1,4,4,3,4,4,1,3,5,3,2,3,3,2,1,2,3,1,2,2.4285714285714284,3.4285714285714284,3.142857142857143,2.0,2.75,0,3.563824991411599,False
65,2023,18.0,1.0,3.0,,,,3,3,5,5,3,3,4,4,3,2,4,4,2,3,3,4,2,4,4,1,5,3,4,2,4,4,1,4,3.7142857142857144,4.142857142857143,3.142857142857143,2.2857142857142856,3.321428571428571,0,4.416260413570958,False
66,2023,18.0,2.0,1.0,,,,5,3,5,2,1,2,3,3,3,4,3,5,2,2,3,4,3,5,4,4,3,4,2,2,2,4,1,2,3.4285714285714284,3.0,3.2857142857142856,2.5714285714285716,3.0714285714285716,0,5.925783493595081,False
67,2023,18.0,1.0,3.0,,,,2,4,4,4,3,4,3,5,4,2,4,2,1,4,3,2,4,5,2,3,5,4,3,1,4,4,1,4,2.7142857142857144,4.142857142857143,4.0,2.142857142857143,3.25,0,4.653163963225262,False
68,2023,18.0,2.0,2.0,,,,3,4,3,4,3,2,3,3,2,2,3,3,3,2,4,2,2,3,4,3,3,3,2,2,2,4,2,3,2.857142857142857,3.0,3.0,2.4285714285714284,2.8214285714285716,0,3.977627104018429,False
69,2023,18.0,2.0,4.0,,,,3,3,4,4,1,4,3,4,2,4,3,3,5,4,4,3,5,4,4,4,4,4,3,4,3,4,3,3,2.857142857142857,3.5714285714285716,3.5714285714285716,4.142857142857143,3.5357142857142856,0,4.129757512445436,False
