lval,op,rval,Estimate,Std. Err,z-value,p-value
FS1,~,FS,1.0,-,-,-
FS5,~,FS,1.5494788931956325,0.11640828384276967,13.310727055088035,0.0
FS7,~,FS,0.04587466697910175,0.06655917172730076,0.6892313378893201,0.49067769891366053
FS12,~,FS,0.37955258667348457,0.07128299292085084,5.324588251921417,1.0118196924757683e-07
FS16,~,FS,1.6893882828049704,0.12304017999545873,13.730378831155752,0.0
FS23,~,FS,1.6810574146281811,0.11914232789374372,14.109657284129206,0.0
FS26,~,FS,1.5967003834025315,0.11642707877120416,13.714166843664966,0.0
PT3,~,PT,1.0,-,-,-
PT8,~,PT,2.161317014133114,0.28805156984254876,7.503229422797466,6.217248937900877e-14
PT11,~,PT,2.8257962280896525,0.3684278541361238,7.669876738032761,1.7319479184152442e-14
PT15,~,PT,0.8640468362264941,0.1846141294471251,4.680285516658049,2.8647567540396324e-06
PT21,~,PT,2.4012871349954357,0.31732622411810085,7.567250836773483,3.8191672047105385e-14
PT25,~,PT,2.4776091263388094,0.3329943756527105,7.440393314376395,1.0036416142611415e-13
PT28,~,PT,2.3543801684158603,0.3179949751042329,7.4038282134386995,1.3233858453531866e-13
EC2,~,EC,1.0,-,-,-
EC4,~,EC,0.20709859209260836,0.056388562367444155,3.672705658630228,0.00023999586436262987
EC9,~,EC,0.8598947814655581,0.06391831754196041,13.453025901184125,0.0
EC14,~,EC,0.33297228946137597,0.05678577951792064,5.863656223129452,4.5278443217000586e-09
EC18,~,EC,0.2583875044560999,0.051561792946021416,5.011220318145012,5.40859481645839e-07
EC20,~,EC,1.2841880637133936,0.08036399391662756,15.979644628285595,0.0
EC22,~,EC,1.4531172077115642,0.08727214885158836,16.65041169280739,0.0
PD6,~,PD,1.0,-,-,-
PD10,~,PD,0.866110108943338,0.05163722801305619,16.77297837729736,0.0
PD13,~,PD,0.44065909879975407,0.04961869316904957,8.880909001161303,0.0
PD17,~,PD,1.1870767887481435,0.059248554640799034,20.035540038485212,0.0
PD19,~,PD,0.25314215951783786,0.04340155386688274,5.832559826968861,5.4583424446974504e-09
PD24,~,PD,0.9601644373589986,0.04995518535342787,19.220515959388642,0.0
PD27,~,PD,0.6930035916575596,0.0418138003461027,16.57356150134242,0.0
EC,~~,EC,0.38712854281285713,0.041526210401434005,9.322510748299973,0.0
EC,~~,FS,0.22363056257771652,0.022471779245070603,9.951617988451911,0.0
EC,~~,PD,0.30971803360028366,0.026967557810454505,11.484838032635292,0.0
EC,~~,PT,0.09848539208825834,0.014827853174271263,6.641918484363238,3.096256584456114e-11
FS,~~,FS,0.28674501814563425,0.03855557408345513,7.4371870982267225,1.028066520802895e-13
FS,~~,PD,0.18120600783770716,0.020342091914742455,8.907933785191208,0.0
PD,~~,PD,0.5645413777880807,0.049474974676812576,11.410645108248099,0.0
PT,~~,PT,0.06856779580555296,0.017447472503823728,3.9299558022857424,8.4961477231138e-05
PT,~~,FS,0.05858113917247033,0.009841295724215288,5.952583969443597,2.6394164631682315e-09
PT,~~,PD,0.0035532411369125776,0.0073853977588897056,0.4811170978779675,0.6304332768556922
EC14,~~,EC14,1.0780395053849428,0.045564259105394196,23.659761543969836,0.0
EC18,~~,EC18,0.9115480393948407,0.03843647324064922,23.715704447282643,0.0
EC2,~~,EC2,0.86234645442146,0.03993169752198766,21.59553707740647,0.0
EC20,~~,EC20,0.8238032997211623,0.04152280437014499,19.839779904019185,0.0
EC22,~~,EC22,0.8026384406682106,0.04350746284268646,18.448293423864513,0.0
EC4,~~,EC4,1.1242774038816448,0.0472744890633405,23.781904916021517,0.0
EC9,~~,EC9,0.8105702006260378,0.0366917605171924,22.091341194275575,0.0
FS1,~~,FS1,1.0886643774799387,0.048246331214958645,22.564708031516325,0.0
FS12,~~,FS12,1.2146313928364618,0.0512754853632897,23.688345106965674,0.0
FS16,~~,FS16,0.8436004485001012,0.044375169264711495,19.010641817471278,0.0
FS23,~~,FS23,0.597142091224947,0.034988890093627496,17.066619993088533,0.0
FS26,~~,FS26,0.7627691716138231,0.039997800486124176,19.07027792339153,0.0
FS5,~~,FS5,0.9399348534583367,0.04648654424980701,20.219503699546763,0.0
FS7,~~,FS7,1.1986309520608178,0.05025437652685891,23.851274951075105,0.0
PD10,~~,PD10,0.7817493700887203,0.03689082314208904,21.19088986050911,0.0
PD13,~~,PD13,1.15034939148746,0.049180126440438565,23.390533427303065,0.0
PD17,~~,PD17,0.6299650182128591,0.03582985226018434,17.582127149748842,0.0
PD19,~~,PD19,0.9516175536436762,0.04020489544363026,23.669196079722017,0.0
PD24,~~,PD24,0.5300533561836073,0.027926390947371014,18.980374412273495,0.0
PD27,~~,PD27,0.5228544011813391,0.02453988359597751,21.306311381433662,0.0
PD6,~~,PD6,0.7501979534396681,0.037257412998438,20.135535267866942,0.0
PT11,~~,PT11,0.51420575087487,0.029461460175008586,17.45350528462959,0.0
PT15,~~,PT15,1.39166599103958,0.0588756688485217,23.637370381243418,0.0
PT21,~~,PT21,0.553917763138868,0.028302045321244237,19.571651335866935,0.0
PT25,~~,PT25,0.8277008741040405,0.0397549108312004,20.82009132400381,0.0
PT28,~~,PT28,0.8106045276042472,0.03849041525881433,21.05990600861492,0.0
PT3,~~,PT3,0.9804046403254157,0.04182260386983355,23.441979924380917,0.0
PT8,~~,PT8,0.5396046207436237,0.026576389355345308,20.303910117677034,0.0
