lval,op,rval,Estimate,Std. Err,z-value,p-value
FS1,~,FS,1.0,-,-,-
FS5,~,FS,1.5637635733553692,0.11997873360570824,13.033672938084221,0.0
FS7,~,FS,0.07157768810554353,0.06731310519757552,1.0633544225063956,0.2876212535538998
FS12,~,FS,0.40760769246683926,0.07315055436284952,5.572175030135876,2.5157847360901542e-08
FS16,~,FS,1.705609180447556,0.1267601896669968,13.455400981292252,0.0
FS23,~,FS,1.6888550744030189,0.12211290133695316,13.830275555643654,0.0
FS26,~,FS,1.6291820837898305,0.12088964154040714,13.476606126189916,0.0
PT3,~,PT,1.0,-,-,-
PT8,~,PT,1.9867658836704074,0.25042083060163045,7.933708545288797,2.220446049250313e-15
PT11,~,PT,2.6839881635460503,0.3285615934780133,8.168904147092556,2.220446049250313e-16
PT15,~,PT,0.8228042721925815,0.1696673578947625,4.849514263657495,1.2376417015680374e-06
PT21,~,PT,2.2541330396389605,0.2799537706425282,8.051804533503505,8.881784197001252e-16
PT25,~,PT,2.316855794341209,0.29369883822209547,7.8885425913101885,3.1086244689504383e-15
PT28,~,PT,2.38078629231526,0.2997225049797754,7.943301729938389,1.9984014443252818e-15
EC2,~,EC,1.0,-,-,-
EC4,~,EC,0.23310964977909196,0.05654475715537972,4.122568766798411,3.746707088292389e-05
EC9,~,EC,0.847687817331518,0.06387221420526756,13.271620967984811,0.0
EC14,~,EC,0.3236005078151808,0.05649496761304784,5.727952797953555,1.0164983965665897e-08
EC18,~,EC,0.25630670665481475,0.0503564478325569,5.089848821385992,3.5834909262177916e-07
EC20,~,EC,1.272292641823886,0.08111552811810112,15.684945550200837,0.0
EC22,~,EC,1.4435791925417243,0.08836595327285197,16.336373219083328,0.0
PD6,~,PD,1.0,-,-,-
PD10,~,PD,0.8354249716787929,0.05008595586211243,16.679824858729933,0.0
PD13,~,PD,0.4473337773930242,0.048915107693305315,9.145104620614026,0.0
PD17,~,PD,1.1535481498569093,0.0569299632721304,20.262583770212213,0.0
PD19,~,PD,0.2731948178401378,0.0426068870842107,6.4119872755258545,1.436348817662747e-10
PD24,~,PD,0.9640692009637087,0.048250518396044606,19.98049415822979,0.0
PD27,~,PD,0.6742975533809262,0.04027408925204235,16.742713885950607,0.0
EC,~~,EC,0.3724967851277694,0.04049055328354221,9.19959731125667,0.0
EC,~~,PD,0.2903693331072126,0.02603104948164927,11.154730173316882,0.0
FS,~~,FS,0.275007302103751,0.037949915883235846,7.246585287373122,4.2743586448068527e-13
FS,~~,EC,0.2193273804607545,0.022364429167992677,9.806974226949755,0.0
FS,~~,PD,0.17721800542886668,0.02018691134908212,8.778856871937755,0.0
PD,~~,PD,0.5622096735590829,0.048510392447950336,11.58946867211436,0.0
PT,~~,PT,0.07427842771493151,0.017728676627426308,4.189733349630444,2.7928244876740393e-05
PT,~~,EC,0.10459285219602736,0.015013270435490871,6.966693408906206,3.2447378117694825e-12
PT,~~,FS,0.06063144167249892,0.009867496421601476,6.1445618093787955,8.018457009484337e-10
PT,~~,PD,0.00046834454626384697,0.0077394950716129065,0.0605135789699173,0.9517466012157552
EC14,~~,EC14,0.9830104104782101,0.04258123033518902,23.08553329053922,0.0
EC18,~~,EC18,0.7961452961076896,0.03442454935363725,23.12725398104428,0.0
EC2,~~,EC2,0.8098981648032167,0.0384749281784813,21.05002408386914,0.0
EC20,~~,EC20,0.7962279127596331,0.04082262526136703,19.504573937670003,0.0
EC22,~~,EC22,0.7919228820384858,0.0433358709730154,18.2740732847698,0.0
EC4,~~,EC4,1.0284974705769951,0.04437245831722742,23.17873540385989,0.0
EC9,~~,EC9,0.7479408408180875,0.03469289231658375,21.558907051373204,0.0
FS1,~~,FS1,1.0563301128174492,0.0478353883051954,22.08260767229182,0.0
FS12,~~,FS12,1.1523491785086206,0.04990607823401974,23.090357312428576,0.0
FS16,~~,FS16,0.7955987345119547,0.04279944555412242,18.58899628704966,0.0
FS23,~~,FS23,0.5490120191292674,0.03306225695811307,16.60540052689722,0.0
FS26,~~,FS26,0.7137270713962461,0.03856433138817358,18.507440572316405,0.0
FS5,~~,FS5,0.8985954190678486,0.04536331162835077,19.808858453941518,0.0
FS7,~~,FS7,1.124000926180541,0.04831404851766776,23.264474012072192,0.0
PD10,~~,PD10,0.7400971898024332,0.03549736036232756,20.849358437565122,0.0
PD13,~~,PD13,1.0674490310887002,0.04683062233111945,22.793825448622645,0.0
PD17,~~,PD17,0.5935459596153146,0.034022540489205805,17.445668402869003,0.0
PD19,~~,PD19,0.8689452121922256,0.03769468687486351,23.052193404705655,0.0
PD24,~~,PD24,0.4513061469689271,0.02518447124273004,17.920016767526334,0.0
PD27,~~,PD27,0.47581851481706144,0.022857480494763403,20.81675252463865,0.0
PD6,~~,PD6,0.6765257429962117,0.03478460383818423,19.448999509205787,0.0
PT11,~~,PT11,0.47532592013603425,0.027693299458373306,17.16393241019721,0.0
PT15,~~,PT15,1.2694273999638555,0.05504939780405603,23.059787219820677,0.0
PT21,~~,PT21,0.49309535296922474,0.02577993251914741,19.127100219671377,0.0
PT25,~~,PT25,0.7540069653165558,0.03691669906635681,20.42454998321554,0.0
PT28,~~,PT28,0.7126049697500222,0.03547855630095831,20.08551203958343,0.0
PT3,~~,PT3,0.8975151732319424,0.039312674081283576,22.83017358100327,0.0
PT8,~~,PT8,0.5063852035446906,0.025130511742653402,20.150214556318215,0.0
